yhat,lb,ub,AI,before_n,cite_n,model,discipline,month,,,,,
7.848132,4.161767,11.5345,4.5,1,,m2,hep-ph,m6,,,,,
19.59354,9.589145,29.59794,4.5,5,,m2,hep-ph,m6,,,,,
6.737752,3.090814,10.38469,5,0,,m2,hep-ph,m6,,,,,
8.469505,3.835404,13.1036,5,1,,m2,hep-ph,m6,,,,,
21.14485,8.709241,33.58047,5,5,,m2,hep-ph,m6,,,,,
5.216949,3.98955,6.444348,0,,,m1,astro,m6,,,,,
8.034356,6.247749,9.820963,0.5,,,m1,astro,m6,,,,,
10.05311,7.904748,12.20148,1,,,m1,astro,m6,,,,,
12.12599,9.682144,14.56984,1.5,,,m1,astro,m6,,,,,
14.54947,11.57747,17.52148,2,,,m1,astro,m6,,,,,
17.44461,13.50621,21.38302,2.5,,,m1,astro,m6,,,,,
20.91376,15.43153,26.396,3,,,m1,astro,m6,,,,,
25.07246,17.34388,32.80104,3.5,,,m1,astro,m6,,,,,
30.05806,19.22511,40.89101,4,,,m1,astro,m6,,,,,
36.03503,21.12562,50.94443,4.5,,,m1,astro,m6,,,,,
43.20049,22.69334,63.70765,5,,,m1,astro,m6,,,,,
4.385264,3.059917,5.710611,0,0,,m2,astro,m6,,,,,
7.562738,5.230472,9.895004,0,1,,m2,astro,m6,,,,,
14.78886,7.077778,22.49995,0,5,,m2,astro,m6,,,,,
6.740705,4.846915,8.634496,0.5,0,,m2,astro,m6,,,,,
8.849904,6.346404,11.3534,0.5,1,,m2,astro,m6,,,,,
16.27592,7.886887,24.66496,0.5,5,,m2,astro,m6,,,,,
8.261274,6.041564,10.48099,1,0,,m2,astro,m6,,,,,
9.897685,7.2541,12.54127,1,1,,m2,astro,m6,,,,,
17.91221,8.645679,27.17873,1,5,,m2,astro,m6,,,,,
9.361506,6.996416,11.7266,1.5,0,,m2,astro,m6,,,,,
10.93722,8.137747,13.7367,1.5,1,,m2,astro,m6,,,,,
19.71291,9.322335,30.10348,1.5,5,,m2,astro,m6,,,,,
10.38,7.826891,12.93311,2,0,,m2,astro,m6,,,,,
12.04906,8.946708,15.1514,2,1,,m2,astro,m6,,,,,
21.69461,9.886006,33.50322,2,5,,m2,astro,m6,,,,,
11.44502,8.535396,14.35465,2.5,0,,m2,astro,m6,,,,,
13.26372,9.633524,16.89393,2.5,1,,m2,astro,m6,,,,,
23.87553,10.30699,37.44407,2.5,5,,m2,astro,m6,,,,,
12.60151,9.108206,16.09482,3,0,,m2,astro,m6,,,,,
14.59804,10.17807,19.018,3,1,,m2,astro,m6,,,,,
26.27569,10.55598,41.99539,3,5,,m2,astro,m6,,,,,
13.86996,9.543838,18.19607,3.5,0,,m2,astro,m6,,,,,
16.0658,10.57822,21.55338,3.5,1,,m2,astro,m6,,,,,
28.91713,10.60289,47.23136,3.5,5,,m2,astro,m6,,,,,
15.26473,9.846905,20.68254,4,0,,m2,astro,m6,,,,,
17.68094,10.83519,24.52669,4,1,,m2,astro,m6,,,,,
31.8241,10.41514,53.23306,4,5,,m2,astro,m6,,,,,
16.79938,10.01882,23.57994,4.5,0,,m2,astro,m6,,,,,
19.45838,10.94544,27.97133,4.5,1,,m2,astro,m6,,,,,
35.02331,9.956224,60.0904,4.5,5,,m2,astro,m6,,,,,
18.48822,10.05429,26.92215,5,0,,m2,astro,m6,,,,,
21.4145,10.8986,31.9304,5,1,,m2,astro,m6,,,,,
38.54413,9.18434,67.90393,5,5,,m2,astro,m6,,,,,
2.082227,1.319465,2.844989,0,,,m1,cond,m6,,,,,
3.51627,3.095425,3.937114,0.5,,,m1,cond,m6,,,,,
4.148061,3.728207,4.567915,1,,,m1,cond,m6,,,,,
4.632997,4.20312,5.062875,1.5,,,m1,cond,m6,,,,,
5.141832,4.652674,5.630989,2,,,m1,cond,m6,,,,,
5.702499,5.075576,6.329422,2.5,,,m1,cond,m6,,,,,
6.323803,5.479983,7.167624,3,,,m1,cond,m6,,,,,
7.012739,5.877231,8.148246,3.5,,,m1,cond,m6,,,,,
7.776721,6.274356,9.279087,4,,,m1,cond,m6,,,,,
8.623933,6.673826,10.57404,4.5,,,m1,cond,m6,,,,,
9.563442,7.076288,12.0506,5,,,m1,cond,m6,,,,,
1.693285,1.062856,2.323714,0,0,,m2,cond,m6,,,,,
4.558517,4.01659,5.100443,0,1,,m2,cond,m6,,,,,
21.68128,15.29287,28.06969,0,5,,m2,cond,m6,,,,,
2.940461,2.5794,3.301523,0.5,0,,m2,cond,m6,,,,,
4.938041,4.495145,5.380937,0.5,1,,m2,cond,m6,,,,,
23.48638,16.34776,30.62499,0.5,5,,m2,cond,m6,,,,,
3.543603,3.15234,3.934865,1,0,,m2,cond,m6,,,,,
5.349163,4.958018,5.740308,1,1,,m2,cond,m6,,,,,
25.44176,17.34266,33.54086,1,5,,m2,cond,m6,,,,,
3.909891,3.479115,4.340667,1.5,0,,m2,cond,m6,,,,,
5.794514,5.344162,6.244866,1.5,1,,m2,cond,m6,,,,,
27.55994,18.26745,36.85244,1.5,5,,m2,cond,m6,,,,,
4.248027,3.746203,4.749851,2,0,,m2,cond,m6,,,,,
